years,popChange,gdpChange,afterGdp,afterPopulation,beforePercent,flagChina,flagEU30,flagNafta,flagRow,flagRecycling,flagIncineration,flagLandfill,flagMismanaged,afterPercent,beforeYear,afterYear
1,0.014037081424642,0.0150943541402943,2212.56073149836,5212.902,0.4263,0,0,0,1,0,0,0,1,0.4241,2017,2018
1,0.014037081424642,0.0150943541402943,2212.56073149836,5212.902,0.155,0,0,0,1,1,0,0,0,0.1608,2017,2018
1,0.0138224351810179,0.000695168952787354,2244.70307265655,5284.957,0.0555,0,0,0,1,0,1,0,0,0.0557,2018,2019
1,0.0138224351810179,0.000695168952787354,2244.70307265655,5284.957,0.3597,0,0,0,1,0,0,1,0,0.353,2018,2019
1,0.0138224351810179,0.000695168952787354,2244.70307265655,5284.957,0.4241,0,0,0,1,0,0,0,1,0.4248,2018,2019
1,0.0138224351810179,0.000695168952787354,2244.70307265655,5284.957,0.1608,0,0,0,1,1,0,0,0,0.1665,2018,2019
1,0.0134248963615032,-0.00853592355322024,2255.42013568658,5355.907,0.0557,0,0,0,1,0,1,0,0,0.0562,2019,2020
1,0.0134248963615032,-0.00853592355322024,2255.42013568658,5355.907,0.353,0,0,0,1,0,0,1,0,0.3339,2019,2020
1,0.0134248963615032,-0.00853592355322024,2255.42013568658,5355.907,0.4248,0,0,0,1,0,0,0,1,0.4376,2019,2020
1,0.0134248963615032,-0.00853592355322024,2255.42013568658,5355.907,0.1665,0,0,0,1,1,0,0,0,0.1723,2019,2020
1,0.00667649146137946,0.0777056415860689,4458.50921258512,1259.61,0.0,1,0,0,0,0,1,0,0,0.0,1999,2000
1,0.00667649146137946,0.0777056415860689,4458.50921258512,1259.61,0.3622,1,0,0,0,0,0,1,0,0.3515,1999,2000
1,0.00667649146137946,0.0777056415860689,4458.50921258512,1259.61,0.4135,1,0,0,0,0,0,0,1,0.3992,1999,2000
1,0.00667649146137946,0.0777056415860689,4458.50921258512,1259.61,0.2244,1,0,0,0,1,0,0,0,0.2493,1999,2000
1,0.00712760298822657,0.0756902418180134,4830.15865772747,1268.588,0.0,1,0,0,0,0,1,0,0,0.0073,2000,2001
1,0.00712760298822657,0.0756902418180134,4830.15865772747,1268.588,0.3515,1,0,0,0,0,0,1,0,0.3325,2000,2001
1,0.00712760298822657,0.0756902418180134,4830.15865772747,1268.588,0.3992,1,0,0,0,0,0,0,1,0.3859,2000,2001
1,0.00712760298822657,0.0756902418180134,4830.15865772747,1268.588,0.2493,1,0,0,0,1,0,0,0,0.2742,2000,2001
1,0.00654507215896738,0.0842398796500588,5271.32751609551,1276.891,0.0073,1,0,0,0,0,1,0,0,0.0147,2001,2002
1,0.00654507215896738,0.0842398796500588,5271.32751609551,1276.891,0.3325,1,0,0,0,0,0,1,0,0.3528,2001,2002
1,0.00654507215896738,0.0842398796500588,5271.32751609551,1276.891,0.3859,1,0,0,0,0,0,0,1,0.3333,2001,2002
1,0.00654507215896738,0.0842398796500588,5271.32751609551,1276.891,0.2742,1,0,0,0,1,0,0,0,0.2992,2001,2002
1,0.00632003828047965,0.0934695354772464,5800.46497886181,1284.961,0.0147,1,0,0,0,0,1,0,0,0.0177,2002,2003
1,0.00632003828047965,0.0934695354772464,5800.46497886181,1284.961,0.3528,1,0,0,0,0,0,1,0,0.3058,2002,2003
1,0.00632003828047965,0.0934695354772464,5800.46497886181,1284.961,0.3333,1,0,0,0,0,0,0,1,0.3524,2002,2003
1,0.00632003828047965,0.0934695354772464,5800.46497886181,1284.961,0.2992,1,0,0,0,1,0,0,0,0.3241,2002,2003
1,0.00608967898636616,0.0944712353171072,6387.10204510339,1292.786,0.0177,1,0,0,0,0,1,0,0,0.0198,2003,2004
1,0.00608967898636616,0.0944712353171072,6387.10204510339,1292.786,0.3058,1,0,0,0,0,0,1,0,0.3036,2003,2004
1,0.00608967898636616,0.0944712353171072,6387.10204510339,1292.786,0.3524,1,0,0,0,0,0,0,1,0.3279,2003,2004
1,0.00608967898636616,0.0944712353171072,6387.10204510339,1292.786,0.3241,1,0,0,0,1,0,0,0,0.3487,2003,2004
1,0.00623614426517606,0.107042242965224,7114.88625163108,1300.848,0.0198,1,0,0,0,0,1,0,0,0.0333,2004,2005
1,0.00623614426517606,0.107042242965224,7114.88625163108,1300.848,0.3036,1,0,0,0,0,0,1,0,0.2891,2004,2005
1,0.00623614426517606,0.107042242965224,7114.88625163108,1300.848,0.3279,1,0,0,0,0,0,0,1,0.3197,2004,2005
1,0.00623614426517606,0.107042242965224,7114.88625163108,1300.848,0.3487,1,0,0,0,1,0,0,0,0.3579,2004,2005
