year,region,eolRecyclingMT,eolLandfillMT,eolIncinerationMT,eolMismanagedMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransportationMT,consumptionTextileMT,consumptionOtherMT,netImportsMT,netExportsMT,domesticProductionMT,netWasteExportMT,netWasteImportMT
2031,china,599.3986456757908,-1833.0241978506078,502.04051576911473,1004.9325923624394,17.580231792444,19.13781127602047,41.08665317603551,30.672222019369478,97.21628886263055,19.718901069312473,101.10380490111467,14.117811516500648,0,14.359095545144356,354.99282015857216,4.334557909004445,0
2032,china,727.7002328400282,-2284.2556377744186,592.5308640127539,1251.8214517988902,18.229027427711276,18.183622058929586,43.12251255555503,32.16598458062958,100.59867240755014,20.465005002009807,106.28450386285675,14.477482661456403,0,14.30747767058343,367.834288227282,4.783462286352332,0
2033,china,871.5426360032977,-2794.533642716875,693.6023123237184,1531.547635509533,18.864427622555528,17.220567898957853,45.12560363841638,33.634093036156,103.90558235945181,21.19557153723743,111.38535900294048,14.824862018281234,0,14.309963989686205,380.46603110368295,5.360031364349439,0
2034,china,1034.9297583255964,-3377.4208391311427,807.015271800659,1851.874432583376,19.490067868873926,16.17260513998818,47.13026488232693,35.09775495992143,107.14201637327714,21.91445259301917,116.50251930315116,15.14992270589823,0,14.428263765122432,393.02786759157857,6.140443222803384,0
2035,china,1215.421139056608,-4025.2754240231516,931.7824210939425,2208.557009426059,20.09971138543807,15.098981870232592,49.10068377518867,36.53351814576562,110.28534484093986,22.61470889607377,121.53864196398405,15.457736969786819,0,14.509907027662274,405.23923487507176,6.9309449364373705,0
2036,china,1410.383677324735,-4729.273577506181,1066.6018458824103,2596.671006150724,20.68918817203182,14.04087564966838,51.01240845771639,37.92541822085464,113.32074590624443,23.291708022198144,126.42715788236669,15.751962497932762,0,14.539611142542002,416.99907595155526,7.714404317109057,0
2037,china,1621.9994298410377,-5496.895898677453,1212.4258149208713,3020.5436167192743,21.261165412781928,12.955462093996374,52.88642612627018,39.28665990176172,116.25444538872335,23.948336242309654,131.2262978617665,16.027451496512054,0,14.547616675897194,428.393861200019,8.50611623455012,0
2038,china,1853.376846703489,-6339.277869539038,1370.8715715909043,3486.578888099206,21.81906998571293,11.8003952789511,54.74559024196981,40.631907234875435,119.09694463610558,24.588360884748546,135.99884394488012,16.27974913574901,0,14.52780770324369,439.48866904623617,9.310569644463868,0
2039,china,2102.8950775651083,-7251.259180108192,1541.2418091083246,3991.922249688905,22.36134382309424,10.604404214931407,56.57643668507339,41.9527723754769,121.84533962275728,25.210113168324742,140.7072551578854,16.512494958709137,0,14.461595304138772,450.23175531039124,10.108100285634976,0
2040,china,2368.045532128904,-8224.291440542742,1722.2812115661377,4531.777888447653,22.886471719299312,9.399591893526633,58.36452103183474,43.240342058829754,124.49762823412092,25.811989589300527,145.3110697006028,16.72993772032346,0,14.343298316904205,460.5848502647424,10.902576811319818,0
2041,china,2651.4423894588526,-9268.021372416128,1915.4892549382912,5111.688550489955,23.397942160070404,8.154964485887774,60.12917860815372,44.50734437466281,127.0668917532723,26.397881547806303,149.8626979281486,16.929605856506758,0,14.191537636502616,470.63804435101133,11.71880349029695,0
2042,china,2943.112971700839,-10346.641200573995,2115.3964789925444,5711.293326505069,23.888962436245954,6.97948526659161,61.81699246369807,45.72016820159095,129.53725456954652,26.96043790244211,154.21393483911046,17.124592477484793,0,14.012659955345988,480.2544881120565,12.553885824461531,0
2043,china,3248.6176061740266,-11480.223287915183,2325.068023192165,6342.043310508437,24.36627244270999,5.805104510306904,63.46796865701724,46.904887963773504,131.93237783138352,27.507139000856114,158.47379437852072,17.30873104344254,0,13.795503598357264,489.56177942636776,13.393750914977858,0
2044,china,3582.125094871381,-12721.251371085267,2552.884667347326,7033.889970808094,24.841663504124178,4.4980971859448005,65.15685635729908,48.109784811168545,134.2907598348127,28.051003326063075,162.8469251846261,17.468733908656045,0,13.739863686233274,499.0036877989278,14.489798091528257,0
2045,china,3945.8647517071336,-14079.341193269502,2800.705121031554,7792.368775877398,25.31704307522207,3.058847067451296,66.888606594029,49.33867131218816,136.62297427963884,28.594239252056596,167.34553078044777,17.606201721890248,0,13.728870219035723,508.50098430195976,15.689082418505336,0
2046,china,4339.433556630249,-15554.473954165762,3068.8967067078447,8617.505345430785,25.792805184622676,1.512190446994964,68.65621214833585,50.58783958807253,138.9360923650359,29.137418122678422,171.9486279261848,17.72568216261065,0,13.67945818722827,517.976326131764,16.900774412905207,0
2047,china,4741.98261913308,-17069.22751161074,3345.1664326434357,9465.039830175407,26.257270321917517,0.04856074868695259,70.36682793916604,51.798938786456574,141.2034252423905,29.66791457463305,176.39846610717626,17.85021239552537,0,13.60631149412426,527.1979276100766,18.109186916908726,0
2048,china,5175.076032825499,-18705.097466650874,3643.022367302429,10381.458755823134,26.725817727747692,-1.5009003129364942,72.11614566117223,53.033932167246654,143.47628260918725,30.202734260426137,180.95668938990363,17.963408144375858,0,13.506109096616765,536.4802187437398,19.303604795794826,0
2049,china,5660.189909193099,-20545.358481724812,3976.7456455602623,11414.354627960274,27.211218333185013,-3.2736511270337587,73.98273201729276,54.343772594066145,145.79781720901877,30.756011529889744,185.8379452900385,18.052134304063348,0,13.614991725960412,546.3229718764809,20.500058170034578,0
2050,china,6174.762096450826,-22505.563777431456,4332.789670090942,12515.403870175329,27.700658242511093,-5.072117169699311,75.86840723957094,55.66650369048752,148.13650657609264,31.313841951589165,190.77022931612024,18.139731383302387,0,13.774970510405868,556.2987317403806,21.68347519050539,0
2022,eu30,96.12227570129924,-189.17410104883044,150.016170560522,17.726811949000012,0.8768750040982685,2.4843450569979098,1.1013598754120686,5.026496679604708,12.467687134074083,6.101143693794041,0.29494237837842263,4.444293396351483,0,0.579197588113668,33.37634080682465,1.0007561405171321,0
2023,eu30,80.22364482711335,-149.8672602653871,123.54134665926429,8.23929729875753,0.9364807553330756,2.9293242799709702,1.210948996908563,5.185118591919814,13.34514334811064,6.3465135775207475,0.21402277617887222,4.622510622971554,0,0.8960625474354755,35.68612549634971,0.7345350763082905,0
2024,eu30,84.24079053409757,-157.16894898098005,128.4126421286775,5.002851806991228,0.907912954428646,2.706072853067198,1.117101548324797,5.149237093988916,13.037563040338625,6.487285135395476,-0.21348974896686457,4.5706881644240624,0,1.0512026505365986,34.81357369153745,0.6009026115793228,0
2025,eu30,84.13790804968885,-156.33831731624034,127.16767781330343,1.8854092773305635,0.8871937842635091,2.543141068583836,1.0448323832780169,5.1272984749040305,12.825981814316094,6.615673404320221,-0.5709988440785452,4.536521698204304,0,1.2237407501093314,34.2333845339008,0.517493807607611,0
2026,eu30,81.0938718199414,-149.52697513909786,121.63107256043413,-0.9966445246128477,0.875294466849116,2.4475631433362963,0.9950316477927323,5.122757253660247,12.727145079540037,6.741275557190816,-0.8699279447390253,4.523643103078577,0,1.2389641493931332,33.80174645610193,0.46824330953606363,0
2027,eu30,77.7209410857432,-141.85445323460004,115.73936955898476,-3.5580980189188915,0.8696599788917485,2.399771075186578,0.9609575523402221,5.13079983140976,12.709028586723974,6.866354950508212,-1.1298752417221323,4.5260748353645965,0,1.1488329347808461,33.48160450348381,0.4405554982966322,0
2028,eu30,75.75225815585762,-136.84008131453783,112.04940368992607,-5.855465060386014,0.8652785091527448,2.361640991106853,0.93046116436172,5.1409393788526,12.705875182039819,6.988627196959895,-1.3771483699684808,4.531217372246424,0,1.0747174888759612,33.221608913627534,0.42522576405651513,0
2029,eu30,75.20742243250788,-134.53872840208484,110.54268137128821,-8.013887741965585,0.8606469248372317,2.321758949095994,0.899981995222209,5.149949888022366,12.697735674156121,7.106886993154971,-1.6186986836103614,4.5352242563846445,0,1.0139679132861734,32.96745391054935,0.4183747270437017,0
