years,popChange,gdpChange,afterGdp,afterPopulation,flagChina,flagEU30,flagNafta,flagRow,flagAgriculture,flagConstruction,flagElectronic,flagHouseholdLeisureSports,flagOther,flagPackaging,flagTextile,flagTransportation,consumptionChange,beforeConsumptionMT,afterConsumptionMT,beforeYear,afterYear
2,-0.00610014043071862,0.0931348251423169,328.36639864608,514.535,0,1,0,0,1,0,0,0,0,0,0,0,-0.0518081628053967,2.51362219321049,2.38339604539338,2012,2010
2,-0.00610014043071862,0.0931348251423169,328.36639864608,514.535,0,1,0,0,0,1,0,0,0,0,0,0,-0.0281219612811616,15.0861298683159,14.6618783082765,2012,2010
2,-0.00610014043071862,0.0931348251423169,328.36639864608,514.535,0,1,0,0,0,0,1,0,0,0,0,0,-0.0511787220261127,5.17315226625094,4.90839694441773,2012,2010
2,-0.00610014043071862,0.0931348251423169,328.36639864608,514.535,0,1,0,0,0,0,0,1,0,0,0,0,-0.0154286175715456,8.22491290455492,8.09801386879128,2012,2010
2,-0.00610014043071862,0.0931348251423169,328.36639864608,514.535,0,1,0,0,0,0,0,0,1,0,0,0,-0.00726644805219812,8.43419894382611,8.37291227533889,2012,2010
2,-0.00610014043071862,0.0931348251423169,328.36639864608,514.535,0,1,0,0,0,0,0,0,0,1,0,0,-0.0323289544769988,33.2850669941246,32.2089955785077,2012,2010
2,-0.00610014043071862,0.0931348251423169,328.36639864608,514.535,0,1,0,0,0,0,0,0,0,0,1,0,0.105929575262186,5.3213568516547,5.88504592276901,2012,2010
2,-0.0201056493345813,-0.050139555179975,1927.61361080059,455.401,0,0,1,0,1,0,0,0,0,0,0,0,-0.18507401989439,0.655563723057555,0.534235909534361,2012,2010
2,-0.0201056493345813,-0.050139555179975,1927.61361080059,455.401,0,0,1,0,0,1,0,0,0,0,0,0,0.00979147267810506,12.5381508888678,12.6609178507301,2012,2010
2,-0.0201056493345813,-0.050139555179975,1927.61361080059,455.401,0,0,1,0,0,0,1,0,0,0,0,0,0.216293807911448,4.96216915558943,6.03545561775261,2012,2010
2,-0.0201056493345813,-0.050139555179975,1927.61361080059,455.401,0,0,1,0,0,0,0,1,0,0,0,0,-0.0621216341538359,15.4372845252663,14.4782951836591,2012,2010
2,-0.0201056493345813,-0.050139555179975,1927.61361080059,455.401,0,0,1,0,0,0,0,0,1,0,0,0,0.046224422418935,4.70943038417798,4.92712108360879,2012,2010
2,-0.0201056493345813,-0.050139555179975,1927.61361080059,455.401,0,0,1,0,0,0,0,0,0,1,0,0,-0.17353640081876,28.800504838091,23.8025688867254,2012,2010
2,-0.0201056493345813,-0.050139555179975,1927.61361080059,455.401,0,0,1,0,0,0,0,0,0,0,1,0,-0.133978486468619,5.2822014079721,4.57450005810959,2012,2010
2,-0.0303235939962058,-0.0706893626535206,1550.13237273288,4628.313,0,0,0,1,1,0,0,0,0,0,0,0,-0.138048902580416,3.60792545432776,3.10985530476587,2012,2010
2,-0.0303235939962058,-0.0706893626535206,1550.13237273288,4628.313,0,0,0,1,0,1,0,0,0,0,0,0,-0.220064877017731,24.5571488822013,19.1529829335336,2012,2010
2,-0.0303235939962058,-0.0706893626535206,1550.13237273288,4628.313,0,0,0,1,0,0,1,0,0,0,0,0,-0.356392448645673,9.14655264878077,5.88679035361522,2012,2010
2,-0.0303235939962058,-0.0706893626535206,1550.13237273288,4628.313,0,0,0,1,0,0,0,1,0,0,0,0,-0.0978397378679441,16.9347305005602,15.2778409075211,2012,2010
2,-0.0303235939962058,-0.0706893626535206,1550.13237273288,4628.313,0,0,0,1,0,0,0,0,1,0,0,0,0.0131467326243943,10.5650813091762,10.703977608303,2012,2010
2,-0.0303235939962058,-0.0706893626535206,1550.13237273288,4628.313,0,0,0,1,0,0,0,0,0,1,0,0,-0.0809646401060599,39.1251995120979,35.9574418145231,2012,2010
2,-0.0303235939962058,-0.0706893626535206,1550.13237273288,4628.313,0,0,0,1,0,0,0,0,0,0,1,0,-0.186080133226241,9.87595069232695,8.03823247176297,2012,2010
2,-0.0138019678977207,-0.127675560862311,13319.6036516575,1352.685,1,0,0,0,1,0,0,0,0,0,0,0,-0.189874437871136,6.38218640705753,5.17037235062868,2013,2011
2,-0.0138019678977207,-0.127675560862311,13319.6036516575,1352.685,1,0,0,0,0,1,0,0,0,0,0,0,-0.147812746209145,18.3675103322515,15.6525581890166,2013,2011
2,-0.0138019678977207,-0.127675560862311,13319.6036516575,1352.685,1,0,0,0,0,0,1,0,0,0,0,0,-0.252775856844732,9.60755934986549,7.17900030301662,2013,2011
2,-0.0138019678977207,-0.127675560862311,13319.6036516575,1352.685,1,0,0,0,0,0,0,1,0,0,0,0,-0.232115686850016,7.58568968719902,5.82493211522373,2013,2011
2,-0.0138019678977207,-0.127675560862311,13319.6036516575,1352.685,1,0,0,0,0,0,0,0,1,0,0,0,-0.257419452877242,4.61615700703834,3.42786839589108,2013,2011
2,-0.0138019678977207,-0.127675560862311,13319.6036516575,1352.685,1,0,0,0,0,0,0,0,0,1,0,0,-0.203824287589461,35.2554201385758,28.0695092451634,2013,2011
2,-0.0138019678977207,-0.127675560862311,13319.6036516575,1352.685,1,0,0,0,0,0,0,0,0,0,1,0,-0.205982742439377,6.59737811373681,5.23843207695978,2013,2011
2,-0.00524362324538076,0.064655753916205,319.058924986387,516.195,0,1,0,0,1,0,0,0,0,0,0,0,-0.0468271389253263,2.64683515468351,2.52289143718271,2013,2011
2,-0.00524362324538076,0.064655753916205,319.058924986387,516.195,0,1,0,0,0,1,0,0,0,0,0,0,-0.0395240536575307,15.7560280240699,15.133285927017,2013,2011
2,-0.00524362324538076,0.064655753916205,319.058924986387,516.195,0,1,0,0,0,0,1,0,0,0,0,0,-0.084658220615976,5.62089113693814,5.14503649500884,2013,2011
2,-0.00524362324538076,0.064655753916205,319.058924986387,516.195,0,1,0,0,0,0,0,1,0,0,0,0,-0.044661665061593,8.62532092027783,8.24009972628763,2013,2011
2,-0.00524362324538076,0.064655753916205,319.058924986387,516.195,0,1,0,0,0,0,0,0,1,0,0,0,-0.0508802977299277,8.85469404003896,8.40416457097436,2013,2011
2,-0.00524362324538076,0.064655753916205,319.058924986387,516.195,0,1,0,0,0,0,0,0,0,1,0,0,-0.0475227393990749,35.2798129169442,33.6032195616442,2013,2011
2,-0.00524362324538076,0.064655753916205,319.058924986387,516.195,0,1,0,0,0,0,0,0,0,0,1,0,0.021027447571252,5.81221164475186,5.9344276203849,2013,2011
2,-0.0202277970318647,-0.0283799646104419,1998.22224988488,459.957,0,0,1,0,1,0,0,0,0,0,0,0,-0.11763601479746,0.744562660353873,0.656975276222848,2013,2011
2,-0.0202277970318647,-0.0283799646104419,1998.22224988488,459.957,0,0,1,0,0,1,0,0,0,0,0,0,-0.20625414939196,14.8037144238214,11.7503868974946,2013,2011
2,-0.0202277970318647,-0.0283799646104419,1998.22224988488,459.957,0,0,1,0,0,0,1,0,0,0,0,0,0.158360840754347,3.67169343440196,4.25314589366607,2013,2011
2,-0.0202277970318647,-0.0283799646104419,1998.22224988488,459.957,0,0,1,0,0,0,0,1,0,0,0,0,-0.0594720864306703,15.9163968312301,14.9698155032183,2013,2011
2,-0.0202277970318647,-0.0283799646104419,1998.22224988488,459.957,0,0,1,0,0,0,0,0,1,0,0,0,-0.238922147334748,5.51553891335892,4.19775451247084,2013,2011
2,-0.0202277970318647,-0.0283799646104419,1998.22224988488,459.957,0,0,1,0,0,0,0,0,0,1,0,0,-0.117304938513019,27.6746894411177,24.4283116978605,2013,2011
2,-0.0202277970318647,-0.0283799646104419,1998.22224988488,459.957,0,0,1,0,0,0,0,0,0,0,1,0,-0.146322676585741,5.46340057062979,4.66398117587517,2013,2011
2,-0.0301220717260384,-0.0584605460663498,1661.23936967167,4700.429,0,0,0,1,1,0,0,0,0,0,0,0,-0.0653360462863964,3.68504337557887,3.44427721102467,2013,2011
2,-0.0301220717260384,-0.0584605460663498,1661.23936967167,4700.429,0,0,0,1,0,1,0,0,0,0,0,0,-0.0299780898510307,24.1710461200994,23.4464443277177,2013,2011
2,-0.0301220717260384,-0.0584605460663498,1661.23936967167,4700.429,0,0,0,1,0,0,1,0,0,0,0,0,-0.0933881383031612,11.0529190995574,10.0207075620342,2013,2011
2,-0.0301220717260384,-0.0584605460663498,1661.23936967167,4700.429,0,0,0,1,0,0,0,1,0,0,0,0,-0.0676327943015267,17.3136357239818,16.1426661604502,2013,2011
2,-0.0301220717260384,-0.0584605460663498,1661.23936967167,4700.429,0,0,0,1,0,0,0,0,1,0,0,0,0.0351908699709826,10.0756812232556,10.4302532110523,2013,2011
2,-0.0301220717260384,-0.0584605460663498,1661.23936967167,4700.429,0,0,0,1,0,0,0,0,0,1,0,0,-0.03498526900198,41.9138675954475,40.4474996627074,2013,2011
2,-0.0301220717260384,-0.0584605460663498,1661.23936967167,4700.429,0,0,0,1,0,0,0,0,0,0,1,0,-0.0385111194662383,9.71588426953627,9.34171468971201,2013,2011
2,-0.013819504050819,-0.124103535940181,14367.0221790085,1361.506,1,0,0,0,1,0,0,0,0,0,0,0,-0.179496162764939,6.77743769645735,5.5609136365648,2014,2012
2,-0.013819504050819,-0.124103535940181,14367.0221790085,1361.506,1,0,0,0,0,1,0,0,0,0,0,0,-0.165952419998864,19.5375949431863,16.295283781407,2014,2012
2,-0.013819504050819,-0.124103535940181,14367.0221790085,1361.506,1,0,0,0,0,0,1,0,0,0,0,0,-0.351900460467126,12.8113815784861,8.30305050179676,2014,2012
2,-0.013819504050819,-0.124103535940181,14367.0221790085,1361.506,1,0,0,0,0,0,0,1,0,0,0,0,-0.247108116791198,8.45080130417745,6.36253970852556,2014,2012
2,-0.013819504050819,-0.124103535940181,14367.0221790085,1361.506,1,0,0,0,0,0,0,0,1,0,0,0,-0.312802032972793,5.35594814708909,3.68059667818276,2014,2012
2,-0.013819504050819,-0.124103535940181,14367.0221790085,1361.506,1,0,0,0,0,0,0,0,0,1,0,0,-0.201576689617472,38.0269524101604,30.3616052270791,2014,2012
2,-0.013819504050819,-0.124103535940181,14367.0221790085,1361.506,1,0,0,0,0,0,0,0,0,0,1,0,-0.226164387288767,7.18597880681602,5.56076631290241,2014,2012
2,-0.00410712774225319,-0.0120969855000047,302.233325902299,517.693,0,1,0,0,1,0,0,0,0,0,0,0,-0.0652733828649107,2.68915225813797,2.51362219321049,2014,2012
2,-0.00410712774225319,-0.0120969855000047,302.233325902299,517.693,0,1,0,0,0,1,0,0,0,0,0,0,-0.0883638146926982,16.5484105517713,15.0861298683159,2014,2012
2,-0.00410712774225319,-0.0120969855000047,302.233325902299,517.693,0,1,0,0,0,0,1,0,0,0,0,0,-0.0617409726618648,5.51356514088365,5.17315226625094,2014,2012
2,-0.00410712774225319,-0.0120969855000047,302.233325902299,517.693,0,1,0,0,0,0,0,1,0,0,0,0,-0.0690347764803835,8.83482293082843,8.22491290455492,2014,2012
2,-0.00410712774225319,-0.0120969855000047,302.233325902299,517.693,0,1,0,0,0,0,0,0,1,0,0,0,-0.0763233199572349,9.13111603449339,8.43419894382611,2014,2012
2,-0.00410712774225319,-0.0120969855000047,302.233325902299,517.693,0,1,0,0,0,0,0,0,0,1,0,0,-0.0715225753362953,35.8490859443141,33.2850669941246,2014,2012
2,-0.00410712774225319,-0.0120969855000047,302.233325902299,517.693,0,1,0,0,0,0,0,0,0,0,1,0,-0.124812443962315,6.08024738805309,5.3213568516547,2014,2012
2,-0.0195356589065516,-0.0215839440147933,2071.00395208222,464.745,0,0,1,0,1,0,0,0,0,0,0,0,-0.0668534439582816,0.702530292603091,0.655563723057555,2014,2012
2,-0.0195356589065516,-0.0215839440147933,2071.00395208222,464.745,0,0,1,0,0,1,0,0,0,0,0,0,-0.0710946388277382,13.4977699698545,12.5381508888678,2014,2012
2,-0.0195356589065516,-0.0215839440147933,2071.00395208222,464.745,0,0,1,0,0,0,1,0,0,0,0,0,0.355640132033072,3.66038820947828,4.96216915558943,2014,2012
2,-0.0195356589065516,-0.0215839440147933,2071.00395208222,464.745,0,0,1,0,0,0,0,1,0,0,0,0,-0.0500845216342936,16.2512190577477,15.4372845252663,2014,2012
2,-0.0195356589065516,-0.0215839440147933,2071.00395208222,464.745,0,0,1,0,0,0,0,0,1,0,0,0,-0.0406552114624733,4.90900710614926,4.70943038417798,2014,2012
2,-0.0195356589065516,-0.0215839440147933,2071.00395208222,464.745,0,0,1,0,0,0,0,0,0,1,0,0,0.070191544014185,26.9115421432532,28.800504838091,2014,2012
2,-0.0195356589065516,-0.0215839440147933,2071.00395208222,464.745,0,0,1,0,0,0,0,0,0,0,1,0,-0.0386157928334583,5.49437089625195,5.2822014079721,2014,2012
2,-0.0299406467158573,-0.0633389700024247,1720.20834122597,4773.049,0,0,0,1,1,0,0,0,0,0,0,0,-0.042083563763679,3.76643026243855,3.60792545432776,2014,2012
2,-0.0299406467158573,-0.0633389700024247,1720.20834122597,4773.049,0,0,0,1,0,1,0,0,0,0,0,0,-0.067410117081567,26.33220596963,24.5571488822013,2014,2012
2,-0.0299406467158573,-0.0633389700024247,1720.20834122597,4773.049,0,0,0,1,0,0,1,0,0,0,0,0,-0.0212084789222191,9.34474037812382,9.14655264878077,2014,2012
2,-0.0299406467158573,-0.0633389700024247,1720.20834122597,4773.049,0,0,0,1,0,0,0,1,0,0,0,0,-0.0680426605882945,18.1711434465983,16.9347305005602,2014,2012
2,-0.0299406467158573,-0.0633389700024247,1720.20834122597,4773.049,0,0,0,1,0,0,0,0,1,0,0,0,-0.0315297788533356,10.9090409580867,10.5650813091762,2014,2012
2,-0.0299406467158573,-0.0633389700024247,1720.20834122597,4773.049,0,0,0,1,0,0,0,0,0,1,0,0,-0.120184002916562,44.4697523593531,39.1251995120979,2014,2012
2,-0.0299406467158573,-0.0633389700024247,1720.20834122597,4773.049,0,0,0,1,0,0,0,0,0,0,1,0,-0.00631823138964412,9.93874598920967,9.87595069232695,2014,2012
2,-0.0130803463820204,-0.118492574429838,15482.7866863306,1371.616,1,0,0,0,1,0,0,0,0,0,0,0,-0.172044693491385,7.70837067760387,6.38218640705753,2015,2013
2,-0.0130803463820204,-0.118492574429838,15482.7866863306,1371.616,1,0,0,0,0,1,0,0,0,0,0,0,-0.168845878354385,22.09880195972,18.3675103322515,2015,2013
2,-0.0130803463820204,-0.118492574429838,15482.7866863306,1371.616,1,0,0,0,0,0,1,0,0,0,0,0,-0.302038842280408,13.7651776801674,9.60755934986549,2015,2013
2,-0.0130803463820204,-0.118492574429838,15482.7866863306,1371.616,1,0,0,0,0,0,0,1,0,0,0,0,-0.199718059633432,9.4787715485925,7.58568968719902,2015,2013
2,-0.0130803463820204,-0.118492574429838,15482.7866863306,1371.616,1,0,0,0,0,0,0,0,1,0,0,0,-0.258951624261131,6.22922491724748,4.61615700703834,2015,2013
2,-0.0130803463820204,-0.118492574429838,15482.7866863306,1371.616,1,0,0,0,0,0,0,0,0,1,0,0,-0.188392543504379,43.4390047262534,35.2554201385758,2015,2013
2,-0.0130803463820204,-0.118492574429838,15482.7866863306,1371.616,1,0,0,0,0,0,0,0,0,0,1,0,-0.182237645535068,8.06759821813212,6.59737811373681,2015,2013
2,-0.00386616244025111,-0.0693607490669949,301.262419854749,518.916,0,1,0,0,1,0,0,0,0,0,0,0,-0.0386623554094495,2.75328358311698,2.64683515468351,2015,2013
2,-0.00386616244025111,-0.0693607490669949,301.262419854749,518.916,0,1,0,0,0,1,0,0,0,0,0,0,-0.0482765989679721,16.5552596552575,15.7560280240699,2015,2013
2,-0.00386616244025111,-0.0693607490669949,301.262419854749,518.916,0,1,0,0,0,0,1,0,0,0,0,0,-0.104285514903736,6.27531566192552,5.62089113693814,2015,2013
2,-0.00386616244025111,-0.0693607490669949,301.262419854749,518.916,0,1,0,0,0,0,0,1,0,0,0,0,-0.0223788217728651,8.82276398299738,8.62532092027783,2015,2013
2,-0.00386616244025111,-0.0693607490669949,301.262419854749,518.916,0,1,0,0,0,0,0,0,1,0,0,0,-0.0336553869772146,9.16308107967915,8.85469404003896,2015,2013
2,-0.00386616244025111,-0.0693607490669949,301.262419854749,518.916,0,1,0,0,0,0,0,0,0,1,0,0,-0.0394900259380464,36.7302931459915,35.2798129169442,2015,2013
2,-0.00386616244025111,-0.0693607490669949,301.262419854749,518.916,0,1,0,0,0,0,0,0,0,0,1,0,-0.0817063453895555,6.32936056518597,5.81221164475186,2015,2013
2,-0.0186670512957191,-0.040800922092056,2099.04725050867,469.453,0,0,1,0,1,0,0,0,0,0,0,0,0.101539739026698,0.675929005531617,0.744562660353873,2015,2013
2,-0.0186670512957191,-0.040800922092056,2099.04725050867,469.453,0,0,1,0,0,1,0,0,0,0,0,0,0.0675465468591861,13.867043518969,14.8037144238214,2015,2013
2,-0.0186670512957191,-0.040800922092056,2099.04725050867,469.453,0,0,1,0,0,0,1,0,0,0,0,0,-0.485050190652694,7.13019670607471,3.67169343440196,2015,2013
2,-0.0186670512957191,-0.040800922092056,2099.04725050867,469.453,0,0,1,0,0,0,0,1,0,0,0,0,-0.0512826770502269,16.7767536717286,15.9163968312301,2015,2013
2,-0.0186670512957191,-0.040800922092056,2099.04725050867,469.453,0,0,1,0,0,0,0,0,1,0,0,0,0.106980932833887,4.9825057955055,5.51553891335892,2015,2013
2,-0.0186670512957191,-0.040800922092056,2099.04725050867,469.453,0,0,1,0,0,0,0,0,0,1,0,0,-9.34699351013245e-05,27.6772764343498,27.6746894411177,2015,2013
2,-0.0186670512957191,-0.040800922092056,2099.04725050867,469.453,0,0,1,0,0,0,0,0,0,0,1,0,-0.038218250379478,5.68049931575995,5.46340057062979,2015,2013
2,-0.0295790962799363,-0.0520701250747618,1819.18394913235,4846.41300000001,0,0,0,1,1,0,0,0,0,0,0,0,-0.0430859705836903,3.85096598262504,3.68504337557887,2015,2013
2,-0.0295790962799363,-0.0520701250747618,1819.18394913235,4846.41300000001,0,0,0,1,0,1,0,0,0,0,0,0,-0.120121637073308,27.4708949992821,24.1710461200994,2015,2013
2,-0.0295790962799363,-0.0520701250747618,1819.18394913235,4846.41300000001,0,0,0,1,0,0,1,0,0,0,0,0,0.690592197156843,6.53789785505081,11.0529190995574,2015,2013
2,-0.0295790962799363,-0.0520701250747618,1819.18394913235,4846.41300000001,0,0,0,1,0,0,0,1,0,0,0,0,-0.0693474089730985,18.6037581487605,17.3136357239818,2015,2013
2,-0.0295790962799363,-0.0520701250747618,1819.18394913235,4846.41300000001,0,0,0,1,0,0,0,0,1,0,0,0,-0.0956209484256111,11.1409935974472,10.0756812232556,2015,2013
2,-0.0295790962799363,-0.0520701250747618,1819.18394913235,4846.41300000001,0,0,0,1,0,0,0,0,0,1,0,0,-0.0709502949653116,45.1147741270555,41.9138675954475,2015,2013
2,-0.0295790962799363,-0.0520701250747618,1819.18394913235,4846.41300000001,0,0,0,1,0,0,0,0,0,0,1,0,-0.0293007774057584,10.0091604519576,9.71588426953627,2015,2013
2,-0.0121998860933748,-0.114117958681335,16632.5018336394,1380.585,1,0,0,0,1,0,0,0,0,0,0,0,-0.118275220497544,7.68656825124247,6.77743769645735,2016,2014
2,-0.0121998860933748,-0.114117958681335,16632.5018336394,1380.585,1,0,0,0,0,1,0,0,0,0,0,0,-0.258038455882905,26.3323552252769,19.5375949431863,2016,2014
2,-0.0121998860933748,-0.114117958681335,16632.5018336394,1380.585,1,0,0,0,0,0,1,0,0,0,0,0,-0.14286874012684,14.9468140741733,12.8113815784861,2016,2014
